Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=1, batch_perplexity=6579.7173, avg_perplexity=6579.71751930274, time=0.04649758338928223
batch=2, batch_perplexity=3519.7905, avg_perplexity=4812.403521909964, time=0.08482670783996582
batch=3, batch_perplexity=2371.983, avg_perplexity=3801.4142923105487, time=0.123260498046875
batch=4, batch_perplexity=1566.1141, avg_perplexity=3045.5431710007038, time=0.16126012802124023
batch=5, batch_perplexity=664.952, avg_perplexity=2246.414360962028, time=0.1956772804260254
batch=6, batch_perplexity=507.16772, avg_perplexity=1752.9390859258156, time=0.23017072677612305
batch=7, batch_perplexity=343.27225, avg_perplexity=1388.6911367243802, time=0.26488304138183594
batch=8, batch_perplexity=510.1406, avg_perplexity=1225.2964966932107, time=0.29958248138427734
batch=9, batch_perplexity=583.2565, avg_perplexity=1128.290715201701, time=0.3338007926940918
batch=10, batch_perplexity=420.58273, avg_perplexity=1022.2663324918125, time=0.368471622467041
batch=11, batch_perplexity=581.80066, avg_perplexity=971.2039471134102, time=0.40167713165283203
batch=12, batch_perplexity=895.8332, avg_perplexity=964.6879052011936, time=0.43613123893737793
batch=13, batch_perplexity=773.1899, avg_perplexity=948.4063928587807, time=0.47080206871032715
batch=14, batch_perplexity=1048.5724, avg_perplexity=955.2323936047297, time=0.5053994655609131
batch=15, batch_perplexity=576.8466, avg_perplexity=923.6465122853856, time=0.539708137512207
batch=16, batch_perplexity=779.8778, avg_perplexity=913.930861113782, time=0.5741293430328369
batch=17, batch_perplexity=640.1987, avg_perplexity=894.9923250831728, time=0.6086561679840088
batch=18, batch_perplexity=801.9655, avg_perplexity=889.5519830562156, time=0.6430048942565918
batch=19, batch_perplexity=663.1105, avg_perplexity=875.9035931846827, time=0.6770288944244385
batch=20, batch_perplexity=572.33875, avg_perplexity=857.4644995914942, time=0.7100198268890381
batch=21, batch_perplexity=786.92706, avg_perplexity=853.966496986337, time=0.744518518447876
batch=22, batch_perplexity=877.1534, avg_perplexity=855.0070262718475, time=0.7769303321838379
batch=23, batch_perplexity=788.50244, avg_perplexity=852.0021666683267, time=0.8119378089904785
batch=24, batch_perplexity=663.6963, avg_perplexity=843.1814852481162, time=0.8464827537536621
batch=25, batch_perplexity=716.80536, avg_perplexity=837.7226702377392, time=0.8810398578643799
batch=26, batch_perplexity=568.8764, avg_perplexity=825.345072954302, time=0.9147472381591797
batch=27, batch_perplexity=1280.4915, avg_perplexity=838.8804037593897, time=0.9490475654602051
batch=28, batch_perplexity=1115.4951, avg_perplexity=847.462170822003, time=0.9833464622497559
batch=29, batch_perplexity=573.82776, avg_perplexity=836.1439523463642, time=1.0179870128631592
batch=30, batch_perplexity=1046.1592, avg_perplexity=842.4127749978638, time=1.0526282787322998
batch=31, batch_perplexity=749.3352, avg_perplexity=839.2370718841161, time=1.087003231048584
batch=32, batch_perplexity=736.2152, avg_perplexity=835.8092308824915, time=1.1215541362762451
batch=33, batch_perplexity=904.0242, avg_perplexity=837.7986872629805, time=1.155656099319458
batch=34, batch_perplexity=945.1771, avg_perplexity=840.7755466889378, time=1.190279245376587
batch=35, batch_perplexity=933.4445, avg_perplexity=843.2909810250576, time=1.224571704864502
batch=36, batch_perplexity=1056.1113, avg_perplexity=848.5789235498772, time=1.2584433555603027
batch=37, batch_perplexity=821.64264, avg_perplexity=847.8394347193544, time=1.2913298606872559
