Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=1, batch_perplexity=3440.9248, avg_perplexity=3440.924828373466, time=0.05621647834777832
batch=2, batch_perplexity=314.54984, avg_perplexity=1040.3568213696096, time=0.09172558784484863
batch=3, batch_perplexity=320.70926, avg_perplexity=702.7896887820713, time=0.1270148754119873
batch=4, batch_perplexity=173.44124, avg_perplexity=495.34426467708823, time=0.16222453117370605
batch=5, batch_perplexity=205.47415, avg_perplexity=415.4101946007602, time=0.19735193252563477
batch=6, batch_perplexity=218.2249, avg_perplexity=373.1484789659285, time=0.2326061725616455
batch=7, batch_perplexity=266.73206, avg_perplexity=355.6740488035193, time=0.26746106147766113
batch=8, batch_perplexity=259.455, avg_perplexity=341.92307534315825, time=0.30240869522094727
batch=9, batch_perplexity=178.90002, avg_perplexity=318.17851962864773, time=0.3373255729675293
batch=10, batch_perplexity=192.34575, avg_perplexity=302.56036096888676, time=0.3716928958892822
batch=11, batch_perplexity=198.75658, avg_perplexity=291.2205271268073, time=0.4063839912414551
batch=12, batch_perplexity=211.88887, avg_perplexity=283.60409470129105, time=0.4397432804107666
batch=13, batch_perplexity=240.28412, avg_perplexity=280.0109410387493, time=0.47419166564941406
batch=14, batch_perplexity=218.05234, avg_perplexity=275.0532873582326, time=0.5088944435119629
batch=15, batch_perplexity=249.8935, avg_perplexity=273.2998403754703, time=0.5432753562927246
batch=16, batch_perplexity=211.44536, avg_perplexity=268.9517066024301, time=0.5778589248657227
batch=17, batch_perplexity=259.95667, avg_perplexity=268.41407378499537, time=0.6121523380279541
batch=18, batch_perplexity=209.10477, avg_perplexity=264.71634915707347, time=0.6468489170074463
batch=19, batch_perplexity=265.6364, avg_perplexity=264.76469429585853, time=0.6815230846405029
batch=20, batch_perplexity=974.1316, avg_perplexity=282.584249959163, time=0.7163934707641602
batch=21, batch_perplexity=9473.719, avg_perplexity=334.02943419987446, time=0.7511327266693115
batch=22, batch_perplexity=7819.5264, avg_perplexity=385.50498505169054, time=0.7856378555297852
batch=23, batch_perplexity=3657.3232, avg_perplexity=425.1224674687495, time=0.8192346096038818
batch=24, batch_perplexity=1607.6653, avg_perplexity=449.34935671691625, time=0.8536417484283447
batch=25, batch_perplexity=616.3728, avg_perplexity=455.0661143647477, time=0.8883264064788818
batch=26, batch_perplexity=407.80997, avg_perplexity=453.15115158748176, time=0.9224514961242676
batch=27, batch_perplexity=360.4592, avg_perplexity=449.32655676379665, time=0.9566993713378906
batch=28, batch_perplexity=377.64697, avg_perplexity=446.54632083411224, time=0.9915328025817871
batch=29, batch_perplexity=419.01175, avg_perplexity=445.5673937785136, time=1.0257890224456787
batch=30, batch_perplexity=342.30054, avg_perplexity=441.668616316593, time=1.0603363513946533
batch=31, batch_perplexity=465.96152, avg_perplexity=442.4321253303111, time=1.0950114727020264
batch=32, batch_perplexity=544.0472, avg_perplexity=445.299891500909, time=1.1291725635528564
batch=33, batch_perplexity=517.4613, avg_perplexity=447.3311209481191, time=1.164050579071045
batch=34, batch_perplexity=689.88556, avg_perplexity=453.06746476054286, time=1.1977801322937012
batch=35, batch_perplexity=438.0799, avg_perplexity=452.63221441241575, time=1.2322747707366943
batch=36, batch_perplexity=734.04535, avg_perplexity=458.7522069966826, time=1.266974687576294
batch=37, batch_perplexity=654.3252, avg_perplexity=463.1761111204435, time=1.3016352653503418
batch=38, batch_perplexity=962.6437, avg_perplexity=472.1795657268791, time=1.3361403942108154
batch=39, batch_perplexity=872.39075, avg_perplexity=479.6706925456852, time=1.370093584060669
batch=40, batch_perplexity=1113.0032, avg_perplexity=489.8713212512358, time=1.404531717300415
batch=41, batch_perplexity=1749.2357, avg_perplexity=505.31724552889824, time=1.43800687789917
batch=42, batch_perplexity=1284.1597, avg_perplexity=516.6640979916983, time=1.4728009700775146
batch=43, batch_perplexity=1460.3066, avg_perplexity=529.3002996192067, time=1.507514476776123
batch=44, batch_perplexity=888.3626, avg_perplexity=535.5662910981717, time=1.5423345565795898
