Wall time,Step,Value
1588883767.8602889,50,1244.3587646484375
1588883805.2490644,100,382.07965087890625
1588883842.8281016,150,277.41986083984375
1588883881.2403502,200,258.41650390625
1588883920.012354,250,211.9591064453125
1588885463.5203502,50,421.6045837402344
1588885500.7440293,100,346.3384094238281
1588885538.5575051,150,319.4368591308594
1588885577.0880606,200,318.92242431640625
1588885615.7856922,250,304.0098571777344
1588886606.0369797,50,381.5256652832031
1588886643.6219807,100,359.830810546875
1588886681.8727314,150,349.6258239746094
1588886720.603763,200,333.2424621582031
1588886759.6189992,250,330.90606689453125
1588887388.3349533,50,359.8285827636719
1588887425.958172,100,376.3439025878906
1588887464.454872,150,344.3419494628906
1588887503.4800718,200,348.3826904296875
1588887542.656289,250,319.25244140625
1588888115.9655497,50,360.1986999511719
1588888153.5357454,100,328.46435546875
1588888192.0686045,150,296.5897521972656
1588888231.149355,200,309.0063171386719
1588888270.3020368,250,289.09454345703125
1588888892.2350695,50,307.58154296875
1588888930.5354912,100,285.531982421875
1588888969.738239,150,288.2220153808594
1588889009.5307305,200,259.5354309082031
1588889048.939069,250,265.84423828125
1588889641.4858093,50,246.22250366210938
1588889679.2636282,100,237.13516235351562
1588889717.8175714,150,240.12364196777344
1588889756.7635453,200,210.9322967529297
1588889795.8932223,250,212.6961669921875
1588890469.3643968,50,197.8509979248047
1588890507.830817,100,221.19622802734375
1588890547.2744923,150,201.79039001464844
1588890586.80322,200,192.79237365722656
1588890626.6414046,250,192.28631591796875
1588891210.9127448,50,180.88417053222656
1588891248.711013,100,161.48097229003906
1588891287.1927483,150,162.2884063720703
1588891326.3084557,200,175.62066650390625
1588891365.484863,250,168.4373779296875
1588892019.3088195,50,143.17572021484375
1588892057.7917948,100,145.42701721191406
1588892097.0557013,150,149.57139587402344
1588892136.782791,200,139.85145568847656
1588892176.432067,250,129.3922882080078
