Wall time,Step,Value
1588957317.773021,50,1345.50732421875
1588957355.4735212,100,887.6187133789062
1588957394.4944115,150,744.158203125
1588957433.864545,200,665.8292846679688
1588957473.3809123,250,683.3255004882812
1588958248.0713463,50,670.7072143554688
1588958285.810591,100,563.3353881835938
1588958324.5388045,150,488.4387512207031
1588958364.160733,200,485.01129150390625
1588958403.1698549,250,527.9567260742188
1588958955.5739264,50,407.5354919433594
1588958993.5866218,100,417.7021484375
1588959032.7195911,150,403.3524169921875
1588959072.3015606,200,359.088623046875
1588959111.9911194,250,375.96295166015625
1588959738.5707324,50,378.0967712402344
1588959776.5512083,100,335.99658203125
1588959815.5100002,150,335.9510803222656
1588959855.0462234,200,356.3358154296875
1588959895.0124826,250,330.76837158203125
1588960482.2776086,50,330.9073486328125
1588960519.9277906,100,287.0329284667969
1588960558.7828424,150,305.0057678222656
1588960597.9994786,200,270.25274658203125
1588960637.358151,250,305.338134765625
1588961259.3154457,50,266.5887451171875
1588961297.1966884,100,251.3035125732422
1588961335.9927826,150,259.0343322753906
1588961375.286615,200,236.44134521484375
1588961414.4122357,250,228.06588745117188
1588962056.2449427,50,227.28033447265625
1588962093.9394019,100,216.28643798828125
1588962132.6090426,150,204.08465576171875
1588962171.5468636,200,195.99142456054688
1588962210.844195,250,188.27615356445312
1588962807.834051,50,187.7237548828125
1588962845.545276,100,186.2733612060547
1588962884.183392,150,185.89572143554688
1588962923.4886537,200,164.25442504882812
1588962962.8731275,250,173.34228515625
1588963598.432266,50,173.82733154296875
1588963636.217587,100,158.73004150390625
1588963675.0729337,150,150.1361083984375
1588963714.2265263,200,149.95452880859375
1588963753.5470495,250,149.0891876220703
1588964382.828865,50,131.65798950195312
1588964421.0767515,100,156.062744140625
1588964460.1527913,150,138.0797119140625
1588964499.4443552,200,122.15208435058594
1588964539.2127905,250,126.93656921386719
