Wall time,Step,Value
1594234475.3595657,5,460454.125
1594234487.2110946,15,4130.43701171875
1594234499.3737397,25,1255.8173828125
1594234505.3874154,30,1437.281494140625
1594234517.1939878,40,546.6476440429688
1594234528.886779,50,559.0567626953125
1594234534.8138707,55,465.66741943359375
1594234540.5663092,60,486.5950622558594
1594234546.571369,65,521.8556518554688
1594234552.3668537,70,357.54986572265625
1594234558.3575826,75,442.9015808105469
1594234564.360292,80,404.8170166015625
1594234570.112981,85,360.8404235839844
1594234576.0631804,90,337.7608642578125
1594234582.0400445,95,369.08251953125
1594234587.8612704,100,297.4050598144531
1594234593.627114,105,358.5235290527344
1594234599.4942183,110,447.01983642578125
1594234611.1632564,120,404.8119812011719
1594234617.0593832,125,345.91754150390625
1594234628.8242567,135,296.2772216796875
1594234646.2865064,150,295.24981689453125
1594234652.2554622,155,307.43841552734375
1594234658.0023947,160,277.9537658691406
1594234663.8807642,165,300.29730224609375
1594234669.7903893,170,268.2601013183594
1594234681.4038653,180,247.01416015625
1594235172.2687936,10,243057.765625
1594235178.2359529,15,2176.06005859375
1594235190.1523256,25,1102.11865234375
1594235196.0281837,30,837.6452026367188
1594235202.0662742,35,529.4653930664062
1594235207.8266654,40,1100.928955078125
1594235213.8222725,45,608.4730224609375
1594235219.6909442,50,693.0557861328125
1594235231.4782262,60,362.7041931152344
1594235237.6360018,65,440.9388732910156
1594235255.3257906,80,602.3934936523438
1594235261.336277,85,436.310791015625
1594235267.3260658,90,338.2679138183594
1594235273.145397,95,309.6712646484375
1594235278.8815105,100,366.2305603027344
1594235296.89111,115,325.4195251464844
1594235302.873694,120,308.8603210449219
1594235308.8159337,125,314.27801513671875
1594235314.5570142,130,337.64990234375
1594235320.6218443,135,307.83477783203125
1594235326.5273423,140,310.0230407714844
1594235332.239212,145,318.06207275390625
1594235338.2863722,150,358.4496765136719
1594235344.2523494,155,291.91485595703125
1594235350.0697088,160,290.4512634277344
1594235361.88548,170,256.1352844238281
1594235367.729382,175,280.10772705078125
1594235373.6839814,180,249.13392639160156
1594235379.648083,185,255.16238403320312
1594235391.244065,195,245.75167846679688
1594235397.2623782,200,248.4543914794922
1594235403.0145772,205,244.2347412109375
1594235409.035312,210,256.560546875
1594235420.7665627,220,263.1982116699219
1594235426.834261,225,242.52703857421875
1594235438.5942755,235,263.8171691894531
1594235444.5465631,240,237.1731719970703
1594235450.5308852,245,235.32579040527344
1594235456.2185173,250,217.7626495361328
1594235462.1603,255,234.99969482421875
1594235468.1287098,260,231.9349365234375
1594235479.965042,270,217.59210205078125
1594235485.758889,275,198.59771728515625
1594235491.6223445,280,216.93177795410156
1594235497.6245146,285,215.31637573242188
1594235509.4065075,295,209.36827087402344
1594235515.340589,300,210.2600860595703
1594235526.9680977,310,196.33152770996094
1594235532.8847425,315,203.2579803466797
1594235538.9129627,320,248.50924682617188
1594235544.6764781,325,201.9791717529297
1594235550.6504357,330,186.81944274902344
1594235556.5604806,335,213.75856018066406
1594235562.3516126,340,191.02452087402344
1594235568.1931267,345,171.67770385742188
1594235585.826831,360,175.3196258544922
1594235591.7468371,365,199.32395935058594
1594235609.389114,380,179.01600646972656
1594235620.9087305,390,167.48374938964844
1594235627.0208626,395,188.9447479248047
1594235632.7206082,400,166.21437072753906
1594235638.6523142,405,199.10708618164062
1594235644.6869526,410,167.4066162109375
1594235650.4646158,415,166.14512634277344
1594235656.4798725,420,162.69821166992188
1594235668.1276317,430,171.32809448242188
1594235674.1186984,435,174.41708374023438
1594235680.2135825,440,154.1277313232422
1594235685.8954558,445,155.90834045410156
1594235691.8880286,450,169.79981994628906
1594235703.603852,460,135.86038208007812
1594235709.616447,465,146.1474151611328
1594235727.2003386,480,149.98184204101562
1594235733.1882343,485,147.6350555419922
1594235744.9474008,495,138.18226623535156
1594235750.973487,500,127.03351593017578
1594235762.757013,510,133.07818603515625
1594235774.6539743,520,136.63909912109375
1594235780.6194832,525,131.56353759765625
