Wall time,Step,Value
1594162627.1809216,5,693023.5
1594162638.1404123,15,2510.339111328125
1594162649.1955833,25,3383.19384765625
1594162654.742694,30,974.8919067382812
1594162665.6016138,40,520.9928588867188
1594162676.5039153,50,699.4507446289062
1594162682.057014,55,593.1964721679688
1594162687.5865324,60,372.4476013183594
1594162693.0373104,65,544.5870971679688
1594162698.5307586,70,408.5129699707031
1594162704.0541072,75,619.0838623046875
1594162709.5430744,80,349.703857421875
1594162715.0033822,85,358.5125732421875
1594162720.4816666,90,385.6011047363281
1594162725.8899348,95,304.8962707519531
1594162731.3782442,100,369.4403076171875
1594162736.8224244,105,352.8350524902344
1594162742.3875608,110,326.8761291503906
1594162753.485757,120,318.22515869140625
1594162759.0241442,125,317.7295227050781
1594162770.0673778,135,283.8053894042969
1594162786.6011033,150,334.2434387207031
1594162792.0425377,155,325.2724609375
1594162797.5793946,160,323.9512023925781
1594162802.9799957,165,272.17138671875
1594162808.522542,170,286.9246826171875
1594162819.590192,180,244.4204559326172
1594162836.1987743,195,270.31036376953125
1594162841.705964,200,281.6617736816406
1594162852.7683036,210,278.7767028808594
1594162858.230925,215,252.64991760253906
1594162863.7111177,220,247.6553955078125
1594162869.2055862,225,227.9258575439453
1594162874.6751108,230,225.1132354736328
1594162880.2080195,235,235.037353515625
1594162891.2553039,245,231.92532348632812
1594162896.8071742,250,263.1944580078125
1594162913.0402596,265,225.86557006835938
1594162918.5467885,270,221.54637145996094
1594162924.0649836,275,197.84957885742188
1594162929.5546682,280,222.62759399414062
1594162935.1251616,285,200.39923095703125
1594162951.477564,300,207.15365600585938
1594162956.9919918,305,191.28366088867188
1594162962.5181606,310,202.50291442871094
1594162968.0798662,315,212.36407470703125
1594162973.6019025,320,185.783447265625
1594162978.96724,325,208.02096557617188
1594162984.5068226,330,162.84466552734375
1594162989.926171,335,280.3283386230469
1594162995.366606,340,193.5615234375
1594163000.9421074,345,212.0065155029297
1594163011.7849584,355,180.98486328125
1594163017.3272152,360,182.97579956054688
1594163022.8979707,365,178.68170166015625
1594163028.4472454,370,184.76165771484375
1594163039.466616,380,192.707275390625
1594163044.956603,385,161.53465270996094
1594163050.4322896,390,166.57522583007812
1594163055.9877396,395,171.90126037597656
1594163067.0697339,405,172.8394775390625
1594163072.5664282,410,173.20645141601562
1594163083.6334682,420,162.4296875
1594163089.1868265,425,169.81446838378906
1594163094.710709,430,168.72933959960938
1594163100.1626887,435,173.1398162841797
1594163105.672623,440,155.8775634765625
1594163111.23247,445,158.28773498535156
1594163122.244211,455,154.43524169921875
1594163127.7597635,460,140.36488342285156
1594163133.3075955,465,141.9214324951172
1594163138.8223555,470,154.02444458007812
1594163149.9397147,480,142.99307250976562
1594163155.4801385,485,154.09466552734375
1594163166.430812,495,135.77464294433594
1594163171.964931,500,126.72611236572266
1594163177.5360487,505,144.48167419433594
1594163183.0688272,510,139.3324737548828
1594163188.5959527,515,149.80116271972656
1594163194.175769,520,126.14750671386719
1594163199.6485264,525,138.0244140625
1594163205.2051942,530,131.26913452148438
1594163221.6597388,545,122.04472351074219
1594163227.154852,550,120.15534973144531
1594163243.7827663,565,118.31637573242188
1594163254.893718,575,107.14370727539062
1594163260.4160326,580,126.66068267822266
1594163265.9608128,585,103.6916732788086
1594163271.4561338,590,106.12438201904297
1594163277.01138,595,116.52704620361328
1594163282.538125,600,105.47444915771484
1594163288.1020055,605,110.5459213256836
1594163299.1741276,615,118.13811492919922
1594163304.7331896,620,113.97760009765625
1594163310.240587,625,109.17896270751953
1594163315.8082883,630,113.7342758178711
1594163321.4296882,635,113.80414581298828
1594163332.4762788,645,123.06452941894531
1594163337.9637477,650,121.188720703125
1594163354.5269005,665,115.32987976074219
1594163360.0937521,670,106.96937561035156
1594163371.0730119,680,103.6009292602539
1594163376.5983493,685,102.25230407714844
1594163387.6956937,695,103.17842864990234
1594163398.6956298,705,111.90437316894531
1594163404.1432078,710,116.0586929321289
1594163409.7126417,715,116.12252044677734
1594163415.21848,720,103.95722961425781
1594163420.847478,725,111.91392517089844
1594163426.3143728,730,118.1373291015625
1594163437.3986535,740,107.36622619628906
1594163442.9895675,745,114.04631805419922
1594163448.5516088,750,101.542236328125
1594163454.0751433,755,98.30020141601562
1594163465.1398044,765,98.71100616455078
1594163470.685299,770,113.60505676269531
1594163476.1903784,775,110.19950866699219
1594163487.2194076,785,103.46610260009766
1594163492.808393,790,102.20491790771484
1594163498.3224814,795,93.00749206542969
1594163509.3256369,805,105.03143310546875
